id,Model,Brand,Power,Size,Scope,Load,Weight,Voltage,Classify,Precision,Install,Operation time(min),cost($)
1,IRB_120,ABB,0.24,180*180,580,3,25,200~600,Assembly robot,0.01,"Floor, wall, bracket, inclined, hoisting",3,1 
2,IRB_260,ABB,NULL,723*600,1560,30,340,200~600,Assembly robot,0.1,fall to the ground,8,3 
3,IRB_2600-20/1.65,ABB,3.4,676*511,1650,20,272,200~600,Assembly robot,0.04,"Floor, wall, bracket, inclined, hoisting",8,3 
4,IRB_4600-40/2.55,ABB,NULL,512*676,2550,40,435,200~600,Assembly robot,0.06,"Floor, inclined, hoisting, bracket",13,4 
5,IRB_6600-175/2.55,ABB,2.6,1136*850,2550,175,1750,200~600,Assembly robot,0.1,fall to the ground,13,18 
6,IRB_6600-175/2.8,ABB,2.6,1136*850,2800,175,1750,200~600,Assembly robot,0.1,fall to the ground,14,18 
7,IRB_6600-225/2.55,ABB,2.6,1136*850,2550,225,1750,200~600,Assembly robot,0.1,fall to the ground,13,18 
8,IRB_6650S-125/3.2,ABB,2.6,1136*850,3200,125,1750,200~600,Assembly robot,0.1,fall to the ground,16,18 
9,IRB_6650S-200/2.75,ABB,2.6,1136*850,2750,200,2750,200~600,Assembly robot,0.1,fall to the ground,14,28 
10,IRB_6660-100/3.3,ABB,2.3,1206*798,3350,100,1950,200~600,Assembly robot,0.1,fall to the ground,17,20 
11,IRB_6660-130/3.1,ABB,3.1,1206*798,3100,130,1910,200~600,Assembly robot,0.11,fall to the ground,16,19 
12,IRB_6660-205/1.9,ABB,3.6,1206*798,1930,205,1730,200~600,Assembly robot,0.07,fall to the ground,10,17 
13,IRB_7600-150/3.5,ABB,3.4,1206.5*791,3500,150,2450,200~600,Assembly robot,0.2,fall to the ground,18,25 
14,IRB_7600-325/3.1,ABB,3.4,1206.5*791,3100,325,2440,200~600,Assembly robot,0.1,fall to the ground,16,24 
15,IRB_7600-340/2.8,ABB,3.4,1206.5*791,2800,340,2425,200~600,Assembly robot,0.3,fall to the ground,14,24 
16,IRB_7600-400/2.55,ABB,3.4,1206.5*791,2550,400,2400,200~600,Assembly robot,0.2,fall to the ground,13,24 
17,IRB_7600-500/2.55,ABB,3.4,1206.5*791,2550,500,2400,200~600,Assembly robot,0.1,fall to the ground,13,24 
18,KR_100-3_comp,KUKA,NULL,NULL,2400,100,1155,200~600,Assembly robot,0.15,fall to the ground,12,12 
19,KR_1000_1300_TITAN_PA,KUKA,NULL,NULL,3202,1300,4690,200~600,Assembly robot,0.01,fall to the ground,16,47 
20,KR_1000_L950_TITAN_PA,KUKA,NULL,NULL,3601,950,4740,200~600,Assembly robot,0.1,fall to the ground,18,47 
21,KR_180-2_PA,KUKA,NULL,NULL,3200,180,1240,200~600,Assembly robot,0.25,fall to the ground,16,12 
22,KR_240_R3200_PA_(KR_QUANTEC),KUKA,NULL,NULL,3195,240,1103,200~600,Assembly robot,0.06,fall to the ground,16,11 
23,KR_470-2_PA,KUKA,NULL,NULL,3150,470,2150,200~600,Assembly robot,0.08,fall to the ground,16,22 
24,LR_Mate_200iC,FANUC,NULL,NULL,704,5,27,200~600,Assembly robot,0.02,fall to the ground,4,1 
25,LR_Mate_200iC/5F,FANUC,NULL,NULL,711,5,27,200~600,Assembly robot,0.02,fall to the ground,4,1 
26,M-16iB/10L,FANUC,NULL,NULL,960,10,220,200~600,Assembly robot,0.1,"floor, hoisting",5,2 
27,M-16iB/20,FANUC,NULL,NULL,740,20,220,200~600,Assembly robot,0.1,"floor, hoisting",4,2 
28,M-1iA/0.5S,FANUC,NULL,NULL,420,0.5,14,200~600,Assembly robot,0.02,"floor, hoisting",2,1 
29,M-20iA/12L,FANUC,NULL,NULL,2009,12,250,200~600,Assembly robot,0.03,fall to the ground,10,3 
30,M-20iA/20M,FANUC,NULL,NULL,1813,20,250,200~600,Assembly robot,0.03,fall to the ground,9,3 
31,M-710iC/12L,FANUC,NULL,NULL,3123,12,540,200~600,Assembly robot,0.04,"Floor, hoisting, inclined",16,5 
32,M-710iC/20L,FANUC,NULL,NULL,3110,20,530,200~600,Assembly robot,0.06,"Floor, hoisting, inclined",16,5 
33,M-710iC/50,FANUC,NULL,NULL,2050,50,560,200~600,Assembly robot,0.03,"Floor, hoisting, inclined",10,6 
34,M-710iC/70,FANUC,NULL,NULL,2050,70,560,200~600,Assembly robot,0.04,"Floor, hoisting, inclined",10,6 
35,R-2000iB/165F,FANUC,NULL,NULL,2660,165,1170,380~415,Assembly robot,0.02,fall to the ground,13,12 
36,R-2000iB/165R,FANUC,NULL,NULL,3095,165,1170,380~415,Assembly robot,0.02,fall to the ground,15,12 
37,R-2000iB/175L,FANUC,NULL,NULL,2852,175,1260,380~415,Assembly robot,0.3,fall to the ground,14,13 
38,R-2000iB/185L,FANUC,NULL,NULL,3060,185,1290,380~415,Assembly robot,0.3,fall to the ground,15,13 
39,R-2000iB/210FS,FANUC,NULL,NULL,2605,210,1250,380~415,Assembly robot,0.3,fall to the ground,13,13 
40,R-2000iB/220U,FANUC,NULL,NULL,2470,220,1150,380~415,Assembly robot,0.3,fall to the ground,12,12 
41,R-2000iB/250F,FANUC,NULL,NULL,2655,250,1270,380~415,Assembly robot,0.3,fall to the ground,13,13 
42,RS006L,KAWASAKI,NULL,NULL,1650,6,150,200~600,Assembly robot,0.03,"floor, hoisting",8,2 
43,RS007L,KAWASAKI,5.6,NULL,930,7,36, 200~600,Assembly robot,0.03,"floor, hoisting",5,1 
44,RS010N,KAWASAKI,NULL,NULL,1400,10,400,200~600,Assembly robot,0.04,fall to the ground,7,5 
45,RS030N,KAWASAKI,7.5,NULL,2100,30,555,200~600,Assembly robot,0.06,"floor, hoisting",11,6 
46,RS050N,KAWASAKI,NULL,NULL,2100,50,555,200~600,Assembly robot,0.06,"floor, hoisting",11,6 
47,RS10L,KAWASAKI,NULL,NULL,1925,10,230,200~600,Assembly robot,0.06,fall to the ground,10,2 
48,XR-4371G,DENSO,NULL,NULL,200,5,45,200~600,Assembly robot,0.015,Hoisting,1,1 
49,XR-4372G,DENSO,NULL,NULL,760,5,46,200~600,Assembly robot,0.015,Hoisting,4,1 
